id,key,value,type
26819236,census:population,2010,regular
26819236,fixme,"When zooming out, Oakland (a nearby city) label covers over the San Francisco label",regular
26819236,is_in:continent,North America,regular
26819236,is_in:country,United States,regular
26819236,is_in:country_code,US,regular
26819236,name,San Francisco,regular
26819236,name:ckb,سان فرانسیسکۆ,regular
26819236,name:de,San Francisco,regular
26819236,name:eu,San Francisco,regular
26819236,name:fa,سان فرانسیسکو,regular
26819236,name:hi,सैन फ्रांसिस्को,regular
26819236,name:ja,サンフランシスコ,regular
26819236,name:kn,ಸಾನ್ ಫ್ರಾನ್ಸಿಸ್ಕೊ,regular
26819236,name:ko,샌프란시스코,regular
26819236,name:pt,São Francisco,regular
26819236,name:ru,Сан-Франциско,regular
26819236,name:ta,ஸான் ப்²ரான்ஸிஸ்கொ,regular
26819236,name:zh,旧金山,regular
26819236,place,city,regular
26819236,population,864816,regular
26819236,rank,10,regular
26819236,short_name,SF,regular
26819236,wikidata,Q62,regular
26819236,wikipedia,en:San Francisco,regular
26819236,z_order,1,regular
31855035,source,PGS,regular
61670779,addr:housenumber,530,regular
61670779,addr:street,Haight Street,regular
61670779,amenity,pub,regular
61670779,name,Mad Dog in the Fog,regular
61671096,addr:housenumber,547,regular
61671096,addr:street,Haight Street,regular
61671096,amenity,pub,regular
61671096,contact:email,info@toronado.com,regular
61671096,contact:fax,415 621 0322,regular
61671096,contact:myspace,toronadosf,regular
61671096,phone,+14158632276,regular
61671096,contact:website,http://www.toronado.com/,regular
61671096,name,Toronado,regular
61671096,opening_hours,11:00-26:00,regular
61671382,addr:housenumber,582,regular
61671382,addr:street,Haight Street,regular
61671382,amenity,pub,regular
61671382,name,Molotov's,regular
61672275,addr:housenumber,557,regular
61672275,addr:street,Haight Street,regular
61672275,amenity,pub,regular
61672275,name,Noc Noc,regular
61672275,short_name,NocNoc,regular
61672275,website,http://nocnocs.com/,regular
61673273,addr:housenumber,668,regular
61673273,addr:street,Haight Street,regular
61673273,amenity,pub,regular
61673273,name,Danny Coyles,regular
61674029,addr:city,San Francisco,regular
61674029,addr:housenumber,298,regular
61674029,addr:street,Divisadero Street,regular
61674029,amenity,pub,regular
61674029,name,The Page,regular
61674029,wheelchair,yes,regular
61675193,addr:city,San Francisco,regular
61675193,addr:housenumber,4,regular
61675193,addr:postcode,94103,regular
61675193,addr:state,California,regular
61675193,addr:street,Valencia Street,regular
61675193,amenity,bar,regular
61675193,name,Martuni's,regular
61675193,outdoor_seating,no,regular
61675193,phone,+14152410205,regular
61675193,smoking,no,regular
61676294,addr:housenumber,1601,regular
61676294,addr:postcode,94117,regular
61676294,addr:street,Haight Street,regular
61676294,amenity,bar,regular
61676294,name,Hobson's Choice,regular
61676294,phone,+14156215859,regular
61676294,wifi,no,regular
61676333,amenity,pub,regular
61676333,name,Martin Mack's,regular
61677300,addr:city,San Francisco,regular
61677300,addr:housenumber,1398,regular
61677300,addr:postcode,94117,regular
61677300,addr:state,California,regular
61677300,addr:street,Haight Street,regular
61677300,amenity,pub,regular
61677300,name,Magnolia Pub & Brewery,regular
61677300,outdoor_seating,yes,regular
61677300,wheelchair,yes,regular
61677421,amenity,pub,regular
61677421,name,The Gold Cane,regular
61677472,addr:city,San Francisco,regular
61677472,addr:country,US,regular
61677472,addr:housenumber,1511,regular
61677472,addr:postcode,94117,regular
61677472,addr:state,California,regular
61677472,addr:street,Haight Street,regular
61677472,amenity,pub,regular
61677472,name,Club Deluxe,regular
61677472,opening_hours,"Mo-Fr 16:00-02:00, Sa,Su 14:00-02:00",regular
61678646,amenity,pub,regular
61678646,name,Trax,regular
61678786,amenity,pub,regular
61678786,name,Aub Zam Zam,regular
61680526,addr:city,San Francisco,regular
61680526,addr:housenumber,554,regular
61680526,addr:postcode,94117,regular
61680526,addr:state,California,regular
61680526,addr:street,Clayton Street,regular
61680526,amenity,post_box,regular
61680526,collection_times,Mo-Fr 17:30;Sa 16:15,regular
61680526,operator,USPS,regular
61689054,addr:city,San Francisco,regular
61689054,addr:housenumber,1390,regular
61689054,addr:postcode,94102,regular
61689054,addr:state,California,regular
61689054,addr:street,Market Street,regular
61689054,amenity,post_office,regular
61689054,name,Fox Plaza,regular
61689054,phone,+14159311053,regular
61689054,sfgov.org:OBJECTID,16,regular
61689054,sfgov.org:OFFICE_TYP,Post Office,regular
61690511,addr:postcode,94111,regular
61690511,amenity,post_office,regular
61690511,operator,USPS,regular
61690511,wheelchair,yes,regular
61690921,addr:city,San Francisco,regular
61690921,addr:housenumber,155,regular
61690921,addr:street,Columbus Avenue,regular
61690921,amenity,bar,regular
61690921,name,Comstock Saloon,regular
61692662,addr:city,San Francisco,regular
61692662,addr:housenumber,201,regular
61692662,addr:street,Columbus Avenue,regular
61692662,amenity,pub,regular
61692662,name,Mr. Bing's,regular
61692712,addr:housenumber,500,regular
61692712,addr:street,Sacramento Street,regular
61692712,amenity,pub,regular
61692712,name,Irish Times,regular
61692712,old_name,Norton's Vault,regular
61692712,phone,+18008008008,regular
61692712,wheelchair,no,regular
61692857,amenity,pub,regular
61692857,created_by,Potlatch 0.10b,regular
61692857,name,Old Ship Saloon,regular
65280373,highway,turning_circle,regular
65281061,exit_to,4th Street; Embarcadero,regular
65281061,highway,motorway_junction,regular
65281061,ref,2,regular
65281061,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/80.pdf,regular
65281097,highway,traffic_signals,regular
65281164,highway,traffic_signals,regular
65281164,turn_restrictions,no,regular
